Building,Day,Hour,Usage_kWh
Hostel_3,Mon,6,167.42
Hostel_4,Mon,6,180.55
Hostel_5,Mon,6,151.37
Hostel_6,Mon,6,134.2
Hostel_7,Mon,6,119.68
Hostel_8,Mon,6,142.89
Hostel_9,Mon,6,128.81
Hostel_10,Mon,6,137.37
Hostel_11,Mon,6,123.02
Hostel_12,Mon,6,108.8
Hostel_13,Mon,6,123.64
Hostel_14,Mon,6,174.69
Dept_1,Mon,6,32.52
Dept_2,Mon,6,29.1
Dept_3,Mon,6,24.78
Dept_4,Mon,6,20.16
Dept_5,Mon,6,22.93
Dept_6,Mon,6,27.7
Dept_7,Mon,6,23.09
Dept_8,Mon,6,20.45
Dept_9,Mon,6,26.02
Dept_10,Mon,6,23.61
Dept_11,Mon,6,18.62
Dept_12,Mon,6,17.94
Dept_13,Mon,6,30.14
Dept_14,Mon,6,21.31
Dept_15,Mon,6,22.64
Dept_16,Mon,6,34.99
Dept_17,Mon,6,20.87
Dept_18,Mon,6,34.12
Dept_19,Mon,6,15.79
Dept_20,Mon,6,20.55
Dept_21,Mon,6,34.65
Dept_22,Mon,6,31.55
Dept_23,Mon,6,13.66
Library,Mon,6,44.32
Lecture_Hall_1,Mon,6,22.56
Lecture_Hall_2,Mon,6,23.65
MAC,Mon,6,49.37
SAC,Mon,6,74.93
Gym,Mon,6,101.22
Sports_Facility,Mon,6,90.04
Residencies,Mon,6,189.3
Extras,Mon,6,33.69
Hostel_1,Mon,7,62.39
Hostel_2,Mon,7,86.06
Hostel_3,Mon,7,96.64
Hostel_4,Mon,7,108.11
Hostel_5,Mon,7,99.42
Hostel_6,Mon,7,75.15
Hostel_7,Mon,7,68.7
Hostel_8,Mon,7,91.05
Hostel_9,Mon,7,59.56
Hostel_10,Mon,7,74.61
Hostel_11,Mon,7,61.18
Hostel_12,Mon,7,61.01
Hostel_13,Mon,7,55.64
Hostel_14,Mon,7,109.18
Dept_1,Mon,7,59.28
Dept_2,Mon,7,48.58
Dept_3,Mon,7,56.03
Dept_4,Mon,7,40.84
Dept_5,Mon,7,41.55
Dept_6,Mon,7,49.52
Dept_7,Mon,7,44.14
Dept_8,Mon,7,53.33
Dept_9,Mon,7,59.93
Dept_10,Mon,7,49.02
Dept_11,Mon,7,33.08
Dept_12,Mon,7,42.16
Dept_13,Mon,7,52.82
Dept_14,Mon,7,41.49
Dept_15,Mon,7,39.72
Dept_16,Mon,7,69.58
Dept_17,Mon,7,36.82
Dept_18,Mon,7,79.41
Dept_19,Mon,7,33.97
Dept_20,Mon,7,37.27
Dept_21,Mon,7,55.39
Dept_22,Mon,7,62.21
Dept_23,Mon,7,28.05
Library,Mon,7,44.8
Lecture_Hall_1,Mon,7,22.23
Lecture_Hall_2,Mon,7,23.87
MAC,Mon,7,62.12
SAC,Mon,7,65.69
Gym,Mon,7,88.97
Sports_Facility,Mon,7,76.16
Residencies,Mon,7,98.45
Extras,Mon,7,38.77
Hostel_1,Mon,8,62.11
Hostel_2,Mon,8,106.49
Hostel_3,Mon,8,89.88
Hostel_4,Mon,8,101.67
Hostel_5,Mon,8,92.07
Hostel_6,Mon,8,70.13
Hostel_7,Mon,8,48.5
Hostel_8,Mon,8,88.75
Hostel_9,Mon,8,71.37
Hostel_10,Mon,8,64.62
Hostel_11,Mon,8,57.76
Hostel_12,Mon,8,57.42
Hostel_13,Mon,8,67.11
Hostel_14,Mon,8,91.76
Dept_1,Mon,8,63.87
Dept_2,Mon,8,50.85
Dept_3,Mon,8,52
Dept_4,Mon,8,45.22
Dept_5,Mon,8,50.33
Dept_6,Mon,8,46.97
Dept_7,Mon,8,40.51
Dept_8,Mon,8,45.4
Dept_9,Mon,8,66.11
Dept_10,Mon,8,42.79
Dept_11,Mon,8,36.51
Dept_12,Mon,8,34.02
Dept_13,Mon,8,67.1
Dept_14,Mon,8,53.19
Dept_15,Mon,8,38.84
Dept_16,Mon,8,55.32
Dept_17,Mon,8,34.92
Dept_18,Mon,8,61.37
Dept_19,Mon,8,29.43
Dept_20,Mon,8,40.71
Dept_21,Mon,8,67.52
Dept_22,Mon,8,68.9
Dept_23,Mon,8,30.71
Library,Mon,8,53.33
Lecture_Hall_1,Mon,8,23.41
Lecture_Hall_2,Mon,8,25.23
MAC,Mon,8,64.97
SAC,Mon,8,66.09
Gym,Mon,8,107.74
Sports_Facility,Mon,8,77.77
Residencies,Mon,8,84.13
Extras,Mon,8,38.26
Hostel_1,Mon,9,53.4
Hostel_2,Mon,9,113.61
Hostel_3,Mon,9,92.12
Hostel_4,Mon,9,115.45
Hostel_5,Mon,9,78.43
Hostel_6,Mon,9,70.02
Hostel_7,Mon,9,58.75
Hostel_8,Mon,9,78.71
Hostel_9,Mon,9,57.5
Hostel_10,Mon,9,66.26
Hostel_11,Mon,9,59.88
Hostel_12,Mon,9,53.82
Hostel_13,Mon,9,69.31
Hostel_14,Mon,9,90.22
Dept_1,Mon,9,151.49
Dept_2,Mon,9,132.84
Dept_3,Mon,9,158.07
Dept_4,Mon,9,107.26
Dept_5,Mon,9,120.77
Dept_6,Mon,9,161.35
Dept_7,Mon,9,130.53
Dept_8,Mon,9,120.08
Dept_9,Mon,9,135.42
Dept_10,Mon,9,147.62
Dept_11,Mon,9,81.01
Dept_12,Mon,9,109.31
Dept_13,Mon,9,161.12
Dept_14,Mon,9,136.94
Dept_15,Mon,9,110.68
Dept_16,Mon,9,153.04
Dept_17,Mon,9,105.94
Dept_18,Mon,9,193.33
Dept_19,Mon,9,92.29
Dept_20,Mon,9,121.23
Dept_21,Mon,9,211.64
Dept_22,Mon,9,146.06
Dept_23,Mon,9,82.63
Library,Mon,9,135.01
Lecture_Hall_1,Mon,9,217.39
Lecture_Hall_2,Mon,9,205.15
MAC,Mon,9,56.73
SAC,Mon,9,62.3
Gym,Mon,9,93.2
Sports_Facility,Mon,9,73.52
Residencies,Mon,9,90.69
Extras,Mon,9,39.25
Hostel_1,Mon,10,60.17
Hostel_2,Mon,10,100.28
Hostel_3,Mon,10,83.88
Hostel_4,Mon,10,105.79
Hostel_5,Mon,10,101.21
Hostel_6,Mon,10,68.68
Hostel_7,Mon,10,55.22
Hostel_8,Mon,10,101.21
Hostel_9,Mon,10,67.82
Hostel_10,Mon,10,67.56
Hostel_11,Mon,10,66.6
Hostel_12,Mon,10,62.19
Hostel_13,Mon,10,58.15
Hostel_14,Mon,10,106.24
Dept_1,Mon,10,183.27
Dept_2,Mon,10,140.94
Dept_3,Mon,10,158.18
Dept_4,Mon,10,108.67
Dept_5,Mon,10,108.8
Dept_6,Mon,10,145.35
Dept_7,Mon,10,130.82
Dept_8,Mon,10,116.51
Dept_9,Mon,10,129.78
Dept_10,Mon,10,150.55
Dept_11,Mon,10,80.35
Dept_12,Mon,10,97.35
Dept_13,Mon,10,180.39
Dept_14,Mon,10,136.34
Dept_15,Mon,10,109.95
Dept_16,Mon,10,188.73
Dept_17,Mon,10,114.74
Dept_18,Mon,10,191.95
Dept_19,Mon,10,87.63
Dept_20,Mon,10,113.82
Dept_21,Mon,10,159.31
Dept_22,Mon,10,220.61
Dept_23,Mon,10,74.41
Library,Mon,10,145.37
Lecture_Hall_1,Mon,10,233.76
Lecture_Hall_2,Mon,10,201.24
MAC,Mon,10,102.27
SAC,Mon,10,108.16
Gym,Mon,10,33.25
Sports_Facility,Mon,10,27.87
Residencies,Mon,10,94.13
Extras,Mon,10,34.65
Hostel_1,Mon,11,53.2
Hostel_2,Mon,11,102.93
Hostel_3,Mon,11,94.02
Hostel_4,Mon,11,113.08
Hostel_5,Mon,11,102.11
Hostel_6,Mon,11,69.66
Hostel_7,Mon,11,54.27
Hostel_8,Mon,11,87.89
Hostel_9,Mon,11,71.96
Hostel_10,Mon,11,69.93
Hostel_11,Mon,11,52.87
Hostel_12,Mon,11,56.44
Hostel_13,Mon,11,57.51
Hostel_14,Mon,11,105.02
Dept_1,Mon,11,166.34
Dept_2,Mon,11,134.25
Dept_3,Mon,11,174.64
Dept_4,Mon,11,105.08
Dept_5,Mon,11,132.46
Dept_6,Mon,11,115.51
Dept_7,Mon,11,120.53
Dept_8,Mon,11,151.24
Dept_9,Mon,11,156.09
Dept_10,Mon,11,159.43
Dept_11,Mon,11,76.41
Dept_12,Mon,11,120.05
Dept_13,Mon,11,159.39
Dept_14,Mon,11,130.77
Dept_15,Mon,11,107.27
Dept_16,Mon,11,177.41
Dept_17,Mon,11,99.62
Dept_18,Mon,11,199.72
Dept_19,Mon,11,93.69
Dept_20,Mon,11,120.72
Dept_21,Mon,11,152.66
Dept_22,Mon,11,189.4
Dept_23,Mon,11,59.96
Library,Mon,11,161.01
Lecture_Hall_1,Mon,11,190.05
Lecture_Hall_2,Mon,11,189.19
MAC,Mon,11,92.59
SAC,Mon,11,117.82
Gym,Mon,11,42.71
Sports_Facility,Mon,11,28.73
Residencies,Mon,11,92.97
Extras,Mon,11,40.7
Hostel_1,Mon,12,63.86
Hostel_2,Mon,12,107.43
Hostel_3,Mon,12,95.54
Hostel_4,Mon,12,109.17
Hostel_5,Mon,12,82.41
Hostel_6,Mon,12,71.12
Hostel_7,Mon,12,57.75
Hostel_8,Mon,12,78.94
Hostel_9,Mon,12,69.33
Hostel_10,Mon,12,67.86
Hostel_11,Mon,12,61.76
Hostel_12,Mon,12,70.91
Hostel_13,Mon,12,58.34
Hostel_14,Mon,12,83.95
Dept_1,Mon,12,171.24
Dept_2,Mon,12,123.37
Dept_3,Mon,12,157.33
Dept_4,Mon,12,87.04
Dept_5,Mon,12,122.08
Dept_6,Mon,12,117.01
Dept_7,Mon,12,113.24
Dept_8,Mon,12,139.34
Dept_9,Mon,12,139.58
Dept_10,Mon,12,160.46
Dept_11,Mon,12,77.55
Dept_12,Mon,12,104.87
Dept_13,Mon,12,142.74
Dept_14,Mon,12,140.54
Dept_15,Mon,12,114.54
Dept_16,Mon,12,174.2
Dept_17,Mon,12,111.86
Dept_18,Mon,12,190.58
Dept_19,Mon,12,89.15
Dept_20,Mon,12,120.36
Dept_21,Mon,12,211.62
Dept_22,Mon,12,183.3
Dept_23,Mon,12,81.88
Library,Mon,12,124.81
Lecture_Hall_1,Mon,12,194.37
Lecture_Hall_2,Mon,12,212.52
MAC,Mon,12,102.15
SAC,Mon,12,113.14
Gym,Mon,12,32.6
Sports_Facility,Mon,12,33.06
Residencies,Mon,12,78.64
Extras,Mon,12,48.54
Hostel_1,Mon,13,67.9
Hostel_2,Mon,13,95.06
Hostel_3,Mon,13,85.37
Hostel_4,Mon,13,86.16
Hostel_5,Mon,13,94.14
Hostel_6,Mon,13,74.66
Hostel_7,Mon,13,53.33
Hostel_8,Mon,13,92.5
Hostel_9,Mon,13,66.97
Hostel_10,Mon,13,72.9
Hostel_11,Mon,13,70.29
Hostel_12,Mon,13,49.56
Hostel_13,Mon,13,69.9
Hostel_14,Mon,13,106.83
Dept_1,Mon,13,146.38
Dept_2,Mon,13,124.68
Dept_3,Mon,13,148.26
Dept_4,Mon,13,102.89
Dept_5,Mon,13,127.22
Dept_6,Mon,13,126.64
Dept_7,Mon,13,126.5
Dept_8,Mon,13,131.02
Dept_9,Mon,13,144.55
Dept_10,Mon,13,167.3
Dept_11,Mon,13,85.1
Dept_12,Mon,13,103.88
Dept_13,Mon,13,139.41
Dept_14,Mon,13,136.07
Dept_15,Mon,13,108.57
Dept_16,Mon,13,177.31
Dept_17,Mon,13,96.26
Dept_18,Mon,13,190.74
Dept_19,Mon,13,90.43
Dept_20,Mon,13,105.06
Dept_21,Mon,13,159.93
Dept_22,Mon,13,151.78
Dept_23,Mon,13,73.68
Library,Mon,13,133.82
Lecture_Hall_1,Mon,13,215.29
Lecture_Hall_2,Mon,13,178.12
MAC,Mon,13,101.25
SAC,Mon,13,117.05
Gym,Mon,13,38.77
Sports_Facility,Mon,13,34.47
Residencies,Mon,13,103.58
Extras,Mon,13,47.53
Hostel_1,Mon,14,53.85
Hostel_2,Mon,14,93.47
Hostel_3,Mon,14,87.96
Hostel_4,Mon,14,97.73
Hostel_5,Mon,14,82.17
Hostel_6,Mon,14,73.57
Hostel_7,Mon,14,56.06
Hostel_8,Mon,14,82.9
Hostel_9,Mon,14,54.16
Hostel_10,Mon,14,54.44
Hostel_11,Mon,14,75.69
Hostel_12,Mon,14,59.99
Hostel_13,Mon,14,64.51
Hostel_14,Mon,14,102.62
Dept_1,Mon,14,161.95
Dept_2,Mon,14,146.07
Dept_3,Mon,14,189.9
Dept_4,Mon,14,86.66
Dept_5,Mon,14,123.3
Dept_6,Mon,14,129.61
Dept_7,Mon,14,123.74
Dept_8,Mon,14,139.86
Dept_9,Mon,14,137.72
Dept_10,Mon,14,148.79
Dept_11,Mon,14,73.39
Dept_12,Mon,14,124.8
Dept_13,Mon,14,168.68
Dept_14,Mon,14,119.4
Dept_15,Mon,14,113.36
Dept_16,Mon,14,170.39
Dept_17,Mon,14,96.81
Dept_18,Mon,14,183.96
Dept_19,Mon,14,71.49
Dept_20,Mon,14,109.68
Dept_21,Mon,14,182.99
Dept_22,Mon,14,180.13
Dept_23,Mon,14,94.17
Library,Mon,14,154.59
Lecture_Hall_1,Mon,14,194.45
Lecture_Hall_2,Mon,14,205.11
MAC,Mon,14,117.28
SAC,Mon,14,127.42
Gym,Mon,14,35.75
Sports_Facility,Mon,14,31.6
Residencies,Mon,14,95.38
Extras,Mon,14,42.02
Hostel_1,Mon,15,57.72
Hostel_2,Mon,15,104.35
Hostel_3,Mon,15,90.76
Hostel_4,Mon,15,97.38
Hostel_5,Mon,15,82.83
Hostel_6,Mon,15,72.35
Hostel_7,Mon,15,48.35
Hostel_8,Mon,15,86.23
Hostel_9,Mon,15,45.49
Hostel_10,Mon,15,61.49
Hostel_11,Mon,15,58.81
Hostel_12,Mon,15,48.08
Hostel_13,Mon,15,36.94
Hostel_14,Mon,15,101.82
Dept_1,Mon,15,161.84
Dept_2,Mon,15,134.6
Dept_3,Mon,15,138.57
Dept_4,Mon,15,89.67
Dept_5,Mon,15,105
Dept_6,Mon,15,145.94
Dept_7,Mon,15,121.83
Dept_8,Mon,15,145.02
Dept_9,Mon,15,133.46
Dept_10,Mon,15,163.51
Dept_11,Mon,15,81.28
Dept_12,Mon,15,107.59
Dept_13,Mon,15,164.43
Dept_14,Mon,15,132.82
Dept_15,Mon,15,120.69
Dept_16,Mon,15,192.67
Dept_17,Mon,15,94.63
Dept_18,Mon,15,174.39
Dept_19,Mon,15,93.35
Dept_20,Mon,15,114.79
Dept_21,Mon,15,199.48
Dept_22,Mon,15,188.69
Dept_23,Mon,15,70.46
Library,Mon,15,125.08
Lecture_Hall_1,Mon,15,209.47
Lecture_Hall_2,Mon,15,196.5
MAC,Mon,15,104.16
SAC,Mon,15,133.48
Gym,Mon,15,36.47
Sports_Facility,Mon,15,40.03
Residencies,Mon,15,94.13
Extras,Mon,15,43.47
Hostel_1,Mon,16,65.04
Hostel_2,Mon,16,100.9
Hostel_3,Mon,16,94.8
Hostel_4,Mon,16,106.6
Hostel_5,Mon,16,80.22
Hostel_6,Mon,16,62.43
Hostel_7,Mon,16,52.25
Hostel_8,Mon,16,100.84
Hostel_9,Mon,16,70.35
Hostel_10,Mon,16,74.25
Hostel_11,Mon,16,61.62
Hostel_12,Mon,16,59.65
Hostel_13,Mon,16,53.39
Hostel_14,Mon,16,105.2
Dept_1,Mon,16,158.77
Dept_2,Mon,16,135.45
Dept_3,Mon,16,168.55
Dept_4,Mon,16,105.7
Dept_5,Mon,16,116.13
Dept_6,Mon,16,150.59
Dept_7,Mon,16,95.09
Dept_8,Mon,16,126.03
Dept_9,Mon,16,171.03
Dept_10,Mon,16,157.93
Dept_11,Mon,16,99.89
Dept_12,Mon,16,110.42
Dept_13,Mon,16,175.28
Dept_14,Mon,16,137.35
Dept_15,Mon,16,115.96
Dept_16,Mon,16,171.43
Dept_17,Mon,16,103.12
Dept_18,Mon,16,164.65
Dept_19,Mon,16,77.15
Dept_20,Mon,16,107.06
Dept_21,Mon,16,167.12
Dept_22,Mon,16,184.16
Dept_23,Mon,16,70.44
Library,Mon,16,144.59
Lecture_Hall_1,Mon,16,214.08
Lecture_Hall_2,Mon,16,194.93
MAC,Mon,16,77.28
SAC,Mon,16,118.36
Gym,Mon,16,40.52
Sports_Facility,Mon,16,29.93
Residencies,Mon,16,86.51
Extras,Mon,16,39.94
Hostel_1,Mon,17,65.47
Hostel_2,Mon,17,92.66
Hostel_3,Mon,17,73.5
Hostel_4,Mon,17,103.22
Hostel_5,Mon,17,95.36
Hostel_6,Mon,17,64.33
Hostel_7,Mon,17,66.82
Hostel_8,Mon,17,96.13
Hostel_9,Mon,17,63.5
Hostel_10,Mon,17,70.68
Hostel_11,Mon,17,51.11
Hostel_12,Mon,17,62.84
Hostel_13,Mon,17,53.46
Hostel_14,Mon,17,89.79
Dept_1,Mon,17,147.26
Dept_2,Mon,17,158.22
Dept_3,Mon,17,143.2
Dept_4,Mon,17,99.35
Dept_5,Mon,17,119.1
Dept_6,Mon,17,154.45
Dept_7,Mon,17,113.12
Dept_8,Mon,17,176.02
Dept_9,Mon,17,160.66
Dept_10,Mon,17,158.64
Dept_11,Mon,17,75.33
Dept_12,Mon,17,109.61
Dept_13,Mon,17,153.46
Dept_14,Mon,17,119.22
Dept_15,Mon,17,120.47
Dept_16,Mon,17,157.31
Dept_17,Mon,17,102.93
Dept_18,Mon,17,211.69
Dept_19,Mon,17,79.91
Dept_20,Mon,17,120.91
Dept_21,Mon,17,174.13
Dept_22,Mon,17,211.56
Dept_23,Mon,17,84.07
Library,Mon,17,156.08
Lecture_Hall_1,Mon,17,184.03
Lecture_Hall_2,Mon,17,214.04
MAC,Mon,17,111.05
SAC,Mon,17,148.36
Gym,Mon,17,81.25
Sports_Facility,Mon,17,68.01
Residencies,Mon,17,94.74
Extras,Mon,17,34.77
Hostel_1,Mon,18,127.42
Hostel_2,Mon,18,264.18
Hostel_3,Mon,18,196.21
Hostel_4,Mon,18,198.6
Hostel_5,Mon,18,197.14
Hostel_6,Mon,18,191.38
Hostel_7,Mon,18,122.29
Hostel_8,Mon,18,239.29
Hostel_9,Mon,18,156.42
Hostel_10,Mon,18,177.66
Hostel_11,Mon,18,139.55
Hostel_12,Mon,18,132.26
Hostel_13,Mon,18,127.4
Hostel_14,Mon,18,222.46
Dept_1,Mon,18,64.53
Dept_2,Mon,18,46.32
Dept_3,Mon,18,63.34
Dept_4,Mon,18,39.36
Dept_5,Mon,18,45.72
Dept_6,Mon,18,51.49
Dept_7,Mon,18,39.94
Dept_8,Mon,18,50.57
Dept_9,Mon,18,59.65
Dept_10,Mon,18,55.89
Dept_11,Mon,18,31.14
Dept_12,Mon,18,39.59
Dept_13,Mon,18,60.59
Dept_14,Mon,18,46.17
Dept_15,Mon,18,38.18
