Student_ID,Course,Total_Classes,Classes_Attended,Attendance_Percentage
29,E,120,98,81.67
29,F,120,74,61.67
29,G,120,97,80.83
30,A,120,84,70.0
30,B,120,97,80.83
30,C,120,115,95.83
30,D,120,113,94.17
30,E,120,106,88.33
30,F,120,83,69.17
30,G,120,89,74.17
31,A,120,72,60.0
31,B,120,97,80.83
31,C,120,113,94.17
31,D,120,111,92.5
31,E,120,95,79.17
31,F,120,71,59.17
31,G,120,101,84.17
32,A,120,83,69.17
32,B,120,96,80.0
32,C,120,115,95.83
32,D,120,117,97.5
32,E,120,100,83.33
32,F,120,87,72.5
32,G,120,105,87.5
33,A,120,75,62.5
33,B,120,89,74.17
33,C,120,115,95.83
33,D,120,110,91.67
33,E,120,104,86.67
33,F,120,77,64.17
33,G,120,98,81.67
34,A,120,71,59.17
34,B,120,91,75.83
34,C,120,114,95.0
34,D,120,113,94.17
34,E,120,103,85.83
34,F,120,87,72.5
34,G,120,95,79.17
35,A,120,76,63.33
35,B,120,92,76.67
35,C,120,116,96.67
35,D,120,111,92.5
35,E,120,103,85.83
35,F,120,85,70.83
35,G,120,99,82.5
36,A,120,78,65.0
36,B,120,97,80.83
36,C,120,114,95.0
36,D,120,110,91.67
36,E,120,100,83.33
36,F,120,76,63.33
36,G,120,89,74.17
37,A,120,84,70.0
37,B,120,91,75.83
37,C,120,116,96.67
37,D,120,108,90.0
37,E,120,102,85.0
37,F,120,71,59.17
37,G,120,96,80.0
38,A,120,71,59.17
38,B,120,100,83.33
38,C,120,114,95.0
38,D,120,109,90.83
38,E,120,103,85.83
38,F,120,76,63.33
38,G,120,102,85.0
39,A,120,74,61.67
39,B,120,91,75.83
39,C,120,114,95.0
39,D,120,111,92.5
39,E,120,105,87.5
39,F,120,78,65.0
39,G,120,91,75.83
40,A,120,72,60.0
40,B,120,104,86.67
40,C,120,116,96.67
40,D,120,104,86.67
40,E,120,110,91.67
40,F,120,83,69.17
40,G,120,94,78.33
41,A,120,80,66.67
41,B,120,86,71.67
41,C,120,111,92.5
41,D,120,115,95.83
41,E,120,102,85.0
41,F,120,80,66.67
41,G,120,101,84.17
42,A,120,89,74.17
42,B,120,97,80.83
42,C,120,116,96.67
42,D,120,111,92.5
42,E,120,105,87.5
42,F,120,74,61.67
42,G,120,96,80.0
43,A,120,86,71.67
43,B,120,93,77.5
43,C,120,114,95.0
43,D,120,112,93.33
43,E,120,101,84.17
43,F,120,76,63.33
43,G,120,90,75.0
44,A,120,81,67.5
44,B,120,102,85.0
44,C,120,111,92.5
44,D,120,113,94.17
44,E,120,99,82.5
44,F,120,84,70.0
44,G,120,99,82.5
45,A,120,81,67.5
45,B,120,89,74.17
45,C,120,115,95.83
45,D,120,113,94.17
45,E,120,100,83.33
45,F,120,78,65.0
45,G,120,92,76.67
46,A,120,74,61.67
46,B,120,96,80.0
46,C,120,118,98.33
46,D,120,111,92.5
46,E,120,106,88.33
46,F,120,72,60.0
46,G,120,96,80.0
47,A,120,81,67.5
47,B,120,96,80.0
47,C,120,116,96.67
47,D,120,115,95.83
47,E,120,109,90.83
47,F,120,94,78.33
47,G,120,97,80.83
48,A,120,86,71.67
48,B,120,99,82.5
48,C,120,113,94.17
48,D,120,108,90.0
48,E,120,99,82.5
48,F,120,71,59.17
48,G,120,92,76.67
49,A,120,73,60.83
49,B,120,102,85.0
49,C,120,111,92.5
49,D,120,112,93.33
49,E,120,91,75.83
49,F,120,82,68.33
49,G,120,91,75.83
50,A,120,83,69.17
50,B,120,93,77.5
50,C,120,111,92.5
50,D,120,115,95.83
50,E,120,95,79.17
50,F,120,68,56.67
50,G,120,95,79.17
51,A,120,72,60.0
51,B,120,96,80.0
51,C,120,114,95.0
51,D,120,108,90.0
51,E,120,104,86.67
51,F,120,87,72.5
51,G,120,100,83.33
52,A,120,89,74.17
52,B,120,94,78.33
52,C,120,113,94.17
52,D,120,108,90.0
52,E,120,101,84.17
52,F,120,76,63.33
52,G,120,96,80.0
53,A,120,84,70.0
53,B,120,98,81.67
53,C,120,113,94.17
53,D,120,112,93.33
53,E,120,96,80.0
53,F,120,85,70.83
53,G,120,107,89.17
54,A,120,77,64.17
54,B,120,88,73.33
54,C,120,114,95.0
54,D,120,111,92.5
54,E,120,109,90.83
54,F,120,83,69.17
54,G,120,91,75.83
55,A,120,81,67.5
55,B,120,97,80.83
55,C,120,117,97.5
55,D,120,109,90.83
55,E,120,107,89.17
55,F,120,83,69.17
55,G,120,94,78.33
56,A,120,79,65.83
56,B,120,98,81.67
56,C,120,110,91.67
56,D,120,111,92.5
56,E,120,104,86.67
56,F,120,88,73.33
56,G,120,95,79.17
57,A,120,80,66.67
57,B,120,90,75.0
57,C,120,113,94.17
57,D,120,116,96.67
57,E,120,100,83.33
57,F,120,79,65.83
57,G,120,96,80.0
58,A,120,74,61.67
58,B,120,93,77.5
58,C,120,113,94.17
58,D,120,108,90.0
58,E,120,98,81.67
58,F,120,88,73.33
58,G,120,98,81.67
59,A,120,76,63.33
59,B,120,88,73.33
59,C,120,116,96.67
59,D,120,115,95.83
59,E,120,102,85.0
59,F,120,72,60.0
59,G,120,104,86.67
60,A,120,83,69.17
60,B,120,101,84.17
60,C,120,113,94.17
60,D,120,114,95.0
60,E,120,97,80.83
60,F,120,64,53.33
60,G,120,94,78.33
61,A,120,71,59.17
61,B,120,97,80.83
61,C,120,113,94.17
61,D,120,115,95.83
61,E,120,109,90.83
61,F,120,79,65.83
61,G,120,98,81.67
62,A,120,72,60.0
62,B,120,95,79.17
62,C,120,114,95.0
62,D,120,106,88.33
62,E,120,102,85.0
62,F,120,77,64.17
62,G,120,97,80.83
63,A,120,81,67.5
63,B,120,96,80.0
63,C,120,116,96.67
63,D,120,114,95.0
63,E,120,102,85.0
63,F,120,72,60.0
63,G,120,98,81.67
64,A,120,79,65.83
64,B,120,95,79.17
64,C,120,115,95.83
64,D,120,110,91.67
64,E,120,105,87.5
64,F,120,73,60.83
64,G,120,94,78.33
65,A,120,81,67.5
65,B,120,95,79.17
65,C,120,113,94.17
65,D,120,118,98.33
65,E,120,106,88.33
65,F,120,83,69.17
65,G,120,96,80.0
66,A,120,74,61.67
66,B,120,96,80.0
66,C,120,115,95.83
66,D,120,109,90.83
66,E,120,103,85.83
66,F,120,84,70.0
66,G,120,91,75.83
67,A,120,85,70.83
67,B,120,98,81.67
67,C,120,108,90.0
67,D,120,113,94.17
67,E,120,101,84.17
67,F,120,76,63.33
67,G,120,100,83.33
68,A,120,77,64.17
68,B,120,95,79.17
68,C,120,114,95.0
68,D,120,115,95.83
68,E,120,105,87.5
68,F,120,78,65.0
68,G,120,98,81.67
69,A,120,93,77.5
69,B,120,102,85.0
69,C,120,111,92.5
69,D,120,109,90.83
69,E,120,99,82.5
69,F,120,69,57.5
69,G,120,92,76.67
70,A,120,82,68.33
70,B,120,97,80.83
70,C,120,111,92.5
70,D,120,115,95.83
70,E,120,103,85.83
70,F,120,76,63.33
70,G,120,99,82.5
71,A,120,78,65.0
71,B,120,103,85.83
71,C,120,115,95.83
71,D,120,109,90.83
71,E,120,103,85.83
71,F,120,73,60.83
71,G,120,97,80.83
72,A,120,79,65.83
72,B,120,94,78.33
72,C,120,114,95.0
72,D,120,109,90.83
72,E,120,107,89.17
72,F,120,76,63.33
72,G,120,97,80.83
73,A,120,75,62.5
73,B,120,97,80.83
73,C,120,112,93.33
73,D,120,113,94.17
73,E,120,99,82.5
73,F,120,85,70.83
73,G,120,97,80.83
74,A,120,75,62.5
74,B,120,101,84.17
74,C,120,111,92.5
74,D,120,113,94.17
74,E,120,106,88.33
74,F,120,85,70.83
74,G,120,101,84.17
75,A,120,80,66.67
75,B,120,92,76.67
75,C,120,113,94.17
75,D,120,113,94.17
75,E,120,104,86.67
75,F,120,79,65.83
75,G,120,95,79.17
76,A,120,82,68.33
76,B,120,94,78.33
76,C,120,112,93.33
76,D,120,112,93.33
76,E,120,101,84.17
76,F,120,77,64.17
76,G,120,97,80.83
77,A,120,77,64.17
77,B,120,100,83.33
77,C,120,113,94.17
77,D,120,117,97.5
77,E,120,105,87.5
77,F,120,73,60.83
77,G,120,93,77.5
78,A,120,81,67.5
78,B,120,95,79.17
78,C,120,115,95.83
78,D,120,113,94.17
78,E,120,97,80.83
78,F,120,82,68.33
78,G,120,108,90.0
79,A,120,76,63.33
79,B,120,97,80.83
79,C,120,114,95.0
79,D,120,105,87.5
79,E,120,97,80.83
79,F,120,81,67.5
79,G,120,94,78.33
80,A,120,79,65.83
80,B,120,94,78.33
80,C,120,115,95.83
80,D,120,112,93.33
80,E,120,103,85.83
80,F,120,86,71.67
80,G,120,98,81.67
81,A,120,88,73.33
81,B,120,94,78.33
81,C,120,116,96.67
81,D,120,110,91.67
81,E,120,99,82.5
81,F,120,78,65.0
81,G,120,97,80.83
82,A,120,73,60.83
82,B,120,92,76.67
82,C,120,116,96.67
82,D,120,109,90.83
82,E,120,108,90.0
82,F,120,83,69.17
82,G,120,102,85.0
83,A,120,80,66.67
83,B,120,101,84.17
83,C,120,115,95.83
83,D,120,115,95.83
83,E,120,108,90.0
83,F,120,85,70.83
83,G,120,95,79.17
84,A,120,76,63.33
84,B,120,90,75.0
84,C,120,115,95.83
84,D,120,115,95.83
84,E,120,100,83.33
84,F,120,73,60.83
84,G,120,92,76.67
85,A,120,80,66.67
85,B,120,90,75.0
85,C,120,115,95.83
85,D,120,110,91.67
85,E,120,102,85.0
85,F,120,86,71.67
85,G,120,100,83.33
86,A,120,76,63.33
86,B,120,90,75.0
86,C,120,115,95.83
86,D,120,111,92.5
86,E,120,108,90.0
86,F,120,83,69.17
86,G,120,95,79.17
87,A,120,87,72.5
87,B,120,99,82.5
87,C,120,119,99.17
87,D,120,115,95.83
87,E,120,104,86.67
87,F,120,72,60.0
87,G,120,105,87.5
88,A,120,75,62.5
88,B,120,94,78.33
88,C,120,116,96.67
88,D,120,114,95.0
88,E,120,108,90.0
88,F,120,74,61.67
88,G,120,94,78.33
89,A,120,88,73.33
89,B,120,95,79.17
89,C,120,113,94.17
89,D,120,114,95.0
89,E,120,107,89.17
89,F,120,75,62.5
89,G,120,100,83.33
90,A,120,71,59.17
90,B,120,101,84.17
90,C,120,111,92.5
90,D,120,115,95.83
90,E,120,101,84.17
90,F,120,82,68.33
90,G,120,99,82.5
91,A,120,78,65.0
91,B,120,89,74.17
91,C,120,109,90.83
91,D,120,109,90.83
91,E,120,99,82.5
91,F,120,77,64.17
91,G,120,95,79.17
92,A,120,71,59.17
92,B,120,98,81.67
92,C,120,114,95.0
92,D,120,112,93.33
92,E,120,106,88.33
92,F,120,80,66.67
92,G,120,90,75.0
93,A,120,75,62.5
93,B,120,97,80.83
93,C,120,114,95.0
93,D,120,113,94.17
93,E,120,95,79.17
93,F,120,68,56.67
93,G,120,96,80.0
94,A,120,74,61.67
94,B,120,98,81.67
94,C,120,117,97.5
94,D,120,110,91.67
94,E,120,100,83.33
94,F,120,73,60.83
94,G,120,99,82.5
95,A,120,88,73.33
95,B,120,91,75.83
95,C,120,115,95.83
95,D,120,110,91.67
95,E,120,101,84.17
95,F,120,78,65.0
95,G,120,91,75.83
96,A,120,79,65.83
96,B,120,91,75.83
96,C,120,113,94.17
96,D,120,110,91.67
96,E,120,104,86.67
96,F,120,74,61.67
96,G,120,91,75.83
97,A,120,77,64.17
97,B,120,85,70.83
97,C,120,112,93.33
97,D,120,113,94.17
97,E,120,108,90.0
97,F,120,82,68.33
97,G,120,91,75.83
98,A,120,82,68.33
98,B,120,97,80.83
98,C,120,115,95.83
98,D,120,114,95.0
98,E,120,105,87.5
98,F,120,72,60.0
98,G,120,91,75.83
99,A,120,77,64.17
99,B,120,105,87.5
99,C,120,112,93.33
99,D,120,112,93.33
99,E,120,101,84.17
99,F,120,66,55.0
99,G,120,96,80.0
100,A,120,77,64.17
100,B,120,92,76.67
100,C,120,113,94.17
100,D,120,114,95.0
100,E,120,94,78.33
100,F,120,76,63.33
100,G,120,95,79.17
101,A,120,89,74.17
101,B,120,102,85.0
101,C,120,114,95.0
101,D,120,107,89.17
101,E,120,103,85.83
101,F,120,67,55.83
101,G,120,94,78.33
102,A,120,78,65.0
102,B,120,90,75.0
102,C,120,114,95.0
102,D,120,110,91.67
102,E,120,105,87.5
102,F,120,79,65.83
102,G,120,101,84.17
103,A,120,77,64.17
103,B,120,99,82.5
103,C,120,115,95.83
103,D,120,113,94.17
103,E,120,105,87.5
103,F,120,78,65.0
103,G,120,102,85.0
104,A,120,82,68.33
104,B,120,91,75.83
104,C,120,114,95.0
104,D,120,113,94.17
104,E,120,102,85.0
104,F,120,75,62.5
104,G,120,103,85.83
105,A,120,77,64.17
105,B,120,87,72.5
105,C,120,112,93.33
105,D,120,115,95.83
105,E,120,104,86.67
105,F,120,74,61.67
105,G,120,97,80.83
106,A,120,83,69.17
106,B,120,104,86.67
106,C,120,113,94.17
106,D,120,107,89.17
106,E,120,103,85.83
106,F,120,78,65.0
106,G,120,98,81.67
107,A,120,72,60.0
107,B,120,103,85.83
107,C,120,113,94.17
107,D,120,112,93.33
107,E,120,103,85.83
107,F,120,76,63.33
107,G,120,94,78.33
108,A,120,76,63.33
108,B,120,91,75.83
108,C,120,115,95.83
108,D,120,110,91.67
108,E,120,103,85.83
108,F,120,82,68.33
108,G,120,96,80.0
109,A,120,88,73.33
109,B,120,95,79.17
109,C,120,115,95.83
109,D,120,112,93.33
109,E,120,109,90.83
109,F,120,76,63.33
109,G,120,94,78.33
110,A,120,85,70.83
110,B,120,90,75.0
110,C,120,114,95.0
110,D,120,113,94.17
110,E,120,101,84.17
110,F,120,81,67.5
110,G,120,91,75.83
111,A,120,78,65.0
111,B,120,97,80.83
111,C,120,115,95.83
111,D,120,109,90.83
111,E,120,99,82.5
111,F,120,84,70.0
111,G,120,98,81.67
112,A,120,76,63.33
112,B,120,92,76.67
112,C,120,117,97.5
112,D,120,108,90.0
112,E,120,99,82.5
112,F,120,74,61.67
112,G,120,99,82.5
113,A,120,84,70.0
113,B,120,95,79.17
113,C,120,114,95.0
113,D,120,112,93.33
113,E,120,103,85.83
113,F,120,76,63.33
113,G,120,88,73.33
114,A,120,71,59.17
114,B,120,93,77.5
114,C,120,114,95.0
114,D,120,114,95.0
114,E,120,102,85.0
114,F,120,68,56.67
114,G,120,90,75.0
115,A,120,82,68.33
115,B,120,100,83.33
115,C,120,117,97.5
115,D,120,114,95.0
115,E,120,104,86.67
115,F,120,78,65.0
115,G,120,88,73.33
116,A,120,71,59.17
116,B,120,98,81.67
116,C,120,116,96.67
116,D,120,111,92.5
116,E,120,105,87.5
116,F,120,75,62.5
116,G,120,102,85.0
117,A,120,68,56.67
117,B,120,97,80.83
117,C,120,116,96.67
117,D,120,113,94.17
117,E,120,104,86.67
117,F,120,78,65.0
117,G,120,96,80.0
118,A,120,80,66.67
118,B,120,87,72.5
118,C,120,111,92.5
118,D,120,110,91.67
118,E,120,106,88.33
118,F,120,82,68.33
118,G,120,101,84.17
119,A,120,87,72.5
119,B,120,94,78.33
119,C,120,115,95.83
119,D,120,104,86.67
119,E,120,98,81.67
119,F,120,78,65.0
119,G,120,93,77.5
120,A,120,75,62.5
120,B,120,97,80.83
120,C,120,116,96.67
120,D,120,114,95.0
120,E,120,102,85.0
120,F,120,86,71.67
120,G,120,95,79.17
121,A,120,83,69.17
121,B,120,93,77.5
121,C,120,113,94.17
121,D,120,112,93.33
121,E,120,109,90.83
121,F,120,68,56.67
121,G,120,94,78.33
122,A,120,66,55.0
122,B,120,94,78.33
122,C,120,111,92.5
122,D,120,111,92.5
122,E,120,101,84.17
122,F,120,86,71.67
122,G,120,98,81.67
123,A,120,75,62.5
123,B,120,99,82.5
123,C,120,115,95.83
123,D,120,110,91.67
123,E,120,103,85.83
123,F,120,75,62.5
123,G,120,98,81.67
124,A,120,75,62.5
124,B,120,88,73.33
124,C,120,114,95.0
124,D,120,114,95.0
124,E,120,98,81.67
124,F,120,80,66.67
124,G,120,100,83.33
125,A,120,71,59.17
125,B,120,91,75.83
125,C,120,113,94.17
125,D,120,111,92.5
125,E,120,93,77.5
125,F,120,84,70.0
125,G,120,87,72.5
126,A,120,88,73.33
126,B,120,106,88.33
126,C,120,117,97.5
126,D,120,111,92.5
126,E,120,99,82.5
126,F,120,71,59.17
126,G,120,102,85.0
127,A,120,71,59.17
127,B,120,106,88.33
127,C,120,116,96.67
127,D,120,112,93.33
127,E,120,97,80.83
127,F,120,69,57.5
127,G,120,96,80.0
128,A,120,82,68.33
128,B,120,95,79.17
128,C,120,117,97.5
128,D,120,109,90.83
128,E,120,99,82.5
128,F,120,69,57.5
128,G,120,95,79.17
129,A,120,86,71.67
129,B,120,97,80.83
129,C,120,116,96.67
129,D,120,112,93.33
129,E,120,106,88.33
129,F,120,65,54.17
129,G,120,95,79.17
130,A,120,82,68.33
130,B,120,98,81.67
130,C,120,113,94.17
130,D,120,110,91.67
130,E,120,98,81.67
130,F,120,72,60.0
130,G,120,97,80.83
131,A,120,75,62.5
131,B,120,94,78.33
131,C,120,112,93.33
131,D,120,107,89.17
131,E,120,99,82.5
131,F,120,72,60.0
131,G,120,92,76.67
132,A,120,79,65.83
132,B,120,92,76.67
132,C,120,115,95.83
132,D,120,113,94.17
132,E,120,109,90.83
132,F,120,71,59.17
132,G,120,99,82.5
133,A,120,79,65.83
133,B,120,98,81.67
133,C,120,113,94.17
133,D,120,106,88.33
133,E,120,94,78.33
133,F,120,84,70.0
133,G,120,95,79.17
134,A,120,74,61.67
134,B,120,109,90.83
134,C,120,110,91.67
134,D,120,112,93.33
134,E,120,105,87.5
134,F,120,84,70.0
134,G,120,88,73.33
135,A,120,78,65.0
135,B,120,97,80.83
135,C,120,114,95.0
135,D,120,111,92.5
135,E,120,106,88.33
135,F,120,69,57.5
135,G,120,96,80.0
136,A,120,88,73.33
136,B,120,105,87.5
136,C,120,118,98.33
136,D,120,112,93.33
136,E,120,101,84.17
136,F,120,77,64.17
136,G,120,97,80.83
137,A,120,72,60.0
137,B,120,95,79.17
137,C,120,113,94.17
137,D,120,114,95.0
137,E,120,100,83.33
137,F,120,82,68.33
137,G,120,94,78.33
138,A,120,84,70.0
138,B,120,102,85.0
138,C,120,109,90.83
138,D,120,109,90.83
138,E,120,107,89.17
138,F,120,71,59.17
138,G,120,100,83.33
139,A,120,74,61.67
139,B,120,87,72.5
139,C,120,114,95.0
139,D,120,110,91.67
139,E,120,105,87.5
139,F,120,80,66.67
139,G,120,96,80.0
140,A,120,83,69.17
140,B,120,96,80.0
140,C,120,118,98.33
140,D,120,112,93.33
140,E,120,98,81.67
140,F,120,71,59.17
140,G,120,98,81.67
141,A,120,83,69.17
141,B,120,96,80.0
141,C,120,116,96.67
141,D,120,112,93.33
141,E,120,98,81.67
141,F,120,86,71.67
141,G,120,92,76.67
142,A,120,74,61.67
142,B,120,94,78.33
142,C,120,109,90.83
142,D,120,112,93.33
142,E,120,100,83.33
142,F,120,72,60.0
142,G,120,94,78.33
143,A,120,83,69.17
143,B,120,92,76.67
143,C,120,117,97.5
143,D,120,110,91.67
143,E,120,102,85.0
143,F,120,84,70.0
143,G,120,100,83.33
144,A,120,85,70.83
144,B,120,89,74.17
144,C,120,111,92.5
144,D,120,114,95.0
144,E,120,102,85.0
144,F,120,76,63.33
144,G,120,97,80.83
145,A,120,75,62.5
145,B,120,100,83.33
145,C,120,118,98.33
145,D,120,113,94.17
145,E,120,103,85.83
145,F,120,73,60.83
145,G,120,95,79.17
146,A,120,82,68.33
146,B,120,98,81.67
146,C,120,113,94.17
146,D,120,110,91.67
146,E,120,102,85.0
146,F,120,72,60.0
146,G,120,99,82.5
147,A,120,76,63.33
147,B,120,98,81.67
147,C,120,108,90.0
147,D,120,115,95.83
147,E,120,99,82.5
147,F,120,69,57.5
147,G,120,92,76.67
148,A,120,82,68.33
148,B,120,92,76.67
148,C,120,111,92.5
148,D,120,114,95.0
148,E,120,103,85.83
148,F,120,74,61.67
148,G,120,97,80.83
149,A,120,70,58.33
149,B,120,95,79.17
149,C,120,113,94.17
149,D,120,111,92.5
149,E,120,99,82.5
149,F,120,83,69.17
149,G,120,101,84.17
150,A,120,78,65.0
150,B,120,95,79.17
150,C,120,113,94.17
150,D,120,111,92.5
150,E,120,101,84.17
150,F,120,85,70.83
150,G,120,90,75.0
151,A,120,85,70.83
151,B,120,93,77.5
151,C,120,117,97.5
151,D,120,112,93.33
151,E,120,104,86.67
151,F,120,81,67.5
151,G,120,93,77.5
152,A,120,79,65.83
152,B,120,97,80.83
152,C,120,113,94.17
152,D,120,114,95.0
152,E,120,102,85.0
152,F,120,76,63.33
152,G,120,97,80.83
153,A,120,88,73.33
153,B,120,97,80.83
153,C,120,111,92.5
153,D,120,113,94.17
153,E,120,99,82.5
153,F,120,77,64.17
153,G,120,92,76.67
154,A,120,83,69.17
154,B,120,95,79.17
154,C,120,112,93.33
154,D,120,115,95.83
154,E,120,106,88.33
154,F,120,75,62.5
154,G,120,95,79.17
155,A,120,72,60.0
155,B,120,99,82.5
155,C,120,113,94.17
155,D,120,113,94.17
155,E,120,111,92.5
155,F,120,85,70.83
155,G,120,96,80.0
156,A,120,72,60.0
156,B,120,101,84.17
156,C,120,114,95.0
156,D,120,114,95.0
156,E,120,105,87.5
156,F,120,78,65.0
156,G,120,98,81.67
157,A,120,67,55.83
157,B,120,94,78.33
157,C,120,115,95.83
157,D,120,115,95.83
157,E,120,99,82.5
157,F,120,74,61.67
157,G,120,93,77.5
158,A,120,82,68.33
158,B,120,90,75.0
158,C,120,113,94.17
158,D,120,109,90.83
158,E,120,105,87.5
158,F,120,79,65.83
158,G,120,97,80.83
159,A,120,76,63.33
159,B,120,96,80.0
159,C,120,115,95.83
159,D,120,114,95.0
159,E,120,104,86.67
159,F,120,75,62.5
159,G,120,96,80.0
160,A,120,77,64.17
160,B,120,95,79.17
160,C,120,111,92.5
160,D,120,107,89.17
160,E,120,103,85.83
160,F,120,70,58.33
160,G,120,101,84.17
161,A,120,74,61.67
161,B,120,91,75.83
161,C,120,110,91.67
161,D,120,109,90.83
161,E,120,101,84.17
161,F,120,80,66.67
161,G,120,103,85.83
162,A,120,80,66.67
162,B,120,98,81.67
162,C,120,117,97.5
162,D,120,108,90.0
162,E,120,97,80.83
162,F,120,77,64.17
162,G,120,102,85.0
163,A,120,78,65.0
163,B,120,98,81.67
163,C,120,115,95.83
163,D,120,109,90.83
163,E,120,98,81.67
163,F,120,82,68.33
163,G,120,100,83.33
164,A,120,83,69.17
164,B,120,101,84.17
164,C,120,113,94.17
164,D,120,115,95.83
164,E,120,95,79.17
164,F,120,83,69.17
164,G,120,95,79.17
165,A,120,81,67.5
165,B,120,96,80.0
165,C,120,117,97.5
165,D,120,107,89.17
165,E,120,99,82.5
165,F,120,74,61.67
